Price,Bed,Bath,Acre_Lot,House_Size,Garage,Swimming_Pool,House_Age,Safety_Index
699043,5,6,0.3,3038,3,1,6,98
696853,4,4,0.45,3134,3,1,9,94
684963,5,5,0.53,3080,3,1,5,93
677537,5,6,0.55,3030,3,1,7,99
677104,4,5,0.38,3130,3,1,6,99
674414,5,5,0.55,2879,3,1,15,95
666059,5,6,0.35,2446,3,1,7,94
662388,5,6,0.47,2979,3,1,8,87
656911,5,6,0.31,2842,3,1,6,80
654489,4,4,0.21,2906,3,1,6,94
653493,4,5,0.4,2998,3,1,15,94
653065,4,5,0.41,3138,3,1,6,96
652122,4,5,0.59,3148,3,1,11,95
651501,5,6,0.42,2846,3,1,5,97
650980,3,4,0.54,2965,3,1,10,99
649251,2,3,0.54,3181,3,1,9,92
647655,5,5,0.41,2736,3,1,6,94
644644,5,5,0.57,3008,3,1,5,95
637827,5,6,0.33,2520,3,1,16,91
635951,5,5,0.44,3134,3,1,13,96
634285,2,2,0.6,3199,3,1,6,85
633730,5,5,0.41,2203,3,1,7,96
633233,5,6,0.34,2884,3,1,12,84
632417,4,5,0.34,3079,3,1,6,98
632233,5,6,0.57,3104,3,1,18,94
629559,5,5,0.59,2712,3,1,8,90
629420,5,6,0.27,2699,3,1,12,91
628441,3,4,0.24,2421,3,1,7,97
626013,5,6,0.31,2696,3,1,19,98
622837,3,3,0.4,3181,3,1,7,95
619948,5,5,0.46,2214,3,1,5,99
619717,3,3,0.35,3060,3,0,16,88
618979,5,6,0.56,2778,3,1,18,81
616992,5,6,0.24,3042,3,1,11,81
616076,4,5,0.55,2994,3,1,7,76
616042,2,3,0.46,2875,3,1,5,86
613788,5,5,0.26,2555,3,1,12,96
613518,3,4,0.5,2896,3,1,17,78
609691,4,5,0.57,2401,3,0,5,86
609384,5,6,0.53,2308,3,0,14,86
607511,5,5,0.4,3073,3,1,16,81
607487,4,4,0.25,3044,3,0,8,83
607381,4,4,0.56,3068,3,0,10,98
604417,5,6,0.43,2984,3,0,18,82
603109,5,6,0.21,2532,3,1,11,78
602212,4,4,0.27,3055,3,0,10,74
601412,2,3,0.52,2489,3,1,7,93
601319,4,5,0.43,2345,3,0,12,90
600196,5,6,0.48,2715,3,1,17,74
600081,5,6,0.44,2710,3,1,15,84
600079,2,2,0.35,2528,3,1,15,98
599197,5,6,0.33,2152,2,0,14,79
597580,5,6,0.41,2248,1,0,6,96
596838,2,3,0.59,3089,2,1,14,82
596653,5,5,0.56,2147,1,1,9,91
596517,5,6,0.59,2581,1,0,9,97
596153,3,4,0.6,2645,1,1,12,93
593024,5,6,0.4,2907,2,1,9,83
592143,5,5,0.3,2835,2,1,9,76
591225,3,3,0.32,2965,2,0,9,71
589956,5,5,0.5,2859,2,1,19,79
589693,3,4,0.47,3188,2,0,16,93
588807,2,2,0.3,2370,2,0,9,87
588455,5,6,0.23,3089,2,0,8,97
587971,3,3,0.31,2756,1,1,8,84
587723,5,5,0.47,2357,1,1,14,75
586786,5,5,0.3,2372,2,0,6,90
585994,2,2,0.21,3186,2,1,5,91
585762,3,4,0.6,2985,1,1,18,90
585632,2,3,0.55,3120,1,1,13,99
584778,3,3,0.58,3076,2,1,16,81
583911,4,4,0.23,2289,2,1,10,82
583724,4,4,0.29,2201,2,1,5,90
